Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq,,Var1,Freq
TRPS1,6,,CLCN2,4,,SOS2,4,,LTBP2,3,,ARSE,2
TSHR,6,,CLN3,4,,SPTA1,4,,MAF,3,,ATP1A1,2
WT1,6,,COL11A2,4,,STS,4,,NFIX,3,,C1R,2
ABCA1,5,,CRYAA,4,,TH,4,,NKX2-1,3,,CACNA1D,2
ABCA12,5,,CYP17A1,4,,TUBA4A,4,,NOTCH2,3,,CACNA1H,2
ABCA3,5,,DDR2,4,,TUBB8,4,,NPC1,3,,CACNA1S,2
ARX,5,,DNM1,4,,ABCC9,3,,NSD1,3,,CAMK2B,2
CACNA1G,5,,DNM1L,4,,ACTC1,3,,PDGFRA,3,,CHRND,2
GATA6,5,,F7,4,,ALK,3,,PHEX,3,,CLN8,2
GJA3,5,,FBLN5,4,,ALX3,3,,PIEZO1,3,,CNGA3,2
GJB3,5,,FGFR4,4,,ARAF,3,,PIK3R2,3,,COL17A1,2
GJB4,5,,FLNB,4,,ATP2C1,3,,PROP1,3,,COL27A1,2
GNAQ,5,,FLT4,4,,BTK,3,,RARB,3,,CYP21A2,2
IDH2,5,,GATA1,4,,CACNA1C,3,,RASA1,3,,DLL4,2
KCNJ10,5,,GJC2,4,,CACNA1E,3,,RDH5,3,,EFEMP1,2
KCNJ5,5,,GNA11,4,,CACNA1F,3,,RUNX2,3,,EFEMP2,2
KRT86,5,,GNAO1,4,,CALM3,3,,SHOX,3,,EGR2,2
LBR,5,,GRIA3,4,,CAMK2A,3,,SLC2A1,3,,EPB42,2
MYH7,5,,GRIA4,4,,CLCN7,3,,SLC4A11,3,,ERF,2
MYO15A,5,,HEXA,4,,COL7A1,3,,SOS1,3,,F5,2
PAH,5,,HSPB8,4,,CRB2,3,,SOX10,3,,FGD1,2
PAX2,5,,IL2RG,4,,CRX,3,,SOX2,3,,FLI1,2
PAX8,5,,KIF1A,4,,CRYAB,3,,STAT1,3,,FLNC,2
PDHA1,5,,KMT2D,4,,DGUOK,3,,STXBP2,3,,FN1,2
SCN11A,5,,LRP4,4,,DNM2,3,,TFAP2B,3,,FOXC2,2
SERPING1,5,,MAP3K7,4,,ESR1,3,,TGFB3,3,,FOXE1,2
SLC26A2,5,,MYH9,4,,F13A1,3,,TK2,3,,FOXE3,2
SLC26A3,5,,NR2F1,4,,FGD4,3,,TRPV3,3,,FOXL2,2
SMAD4,5,,NR3C1,4,,FLNA,3,,TUBA1A,3,,GABRA1,2
SRY,5,,OTX2,4,,GNAI2,3,,TUBB,3,,GABRG2,2
TUBB2A,5,,PAX9,4,,GNRHR,3,,TWIST2,3,,GALE,2
VDR,5,,PIEZO2,4,,HNF1A,3,,ABL1,2,,GATA3,2
ABCC2,4,,PIK3CD,4,,HNRNPDL,3,,ACTN2,2,,GATA5,2
ACAD8,4,,PSEN1,4,,HSD11B2,3,,ACVR1,2,,GDF5,2
ACAD9,4,,PSEN2,4,,HSPB1,3,,AKT3,2,,GJA5,2
ATP2A2,4,,PYCR1,4,,KCNC1,3,,ALOX12B,2,,GJB6,2
BMPR1B,4,,SCN3A,4,,KCNQ5,3,,ALOXE3,2,,GLA,2
CALM2,4,,SMARCA2,4,,KRT3,3,,ALX4,2,,GUCY2D,2
CHRNE,4,,SMARCA4,4,,LPL,3,,AQP2,2,,HBD,2
